State_Abrvtn,Cnsmr_25,Avg_Prm_25,Avg_Prm_Aftr_APTC_25,APTC_Cnsmr_25,Cnsmr_26,Avg_Prm_26,Avg_Prm_Aftr_APTC_26,APTC_Cnsmr_26,platform_2026,enrolment_change_pct,net_premium_change_pct
AK,28736,1105,223,25170,26079,1043,344,19249,HC.gov,-9.246241648106901,54.26008968609865
AL,477838,649,65,457379,455776,743,126,415172,HC.gov,-4.617045944441422,93.84615384615384
AR,166639,591,124,153328,160307,839,162,139372,HC.gov,-3.7998307719081414,30.645161290322577
AZ,423025,524,113,379185,357144,688,229,295299,HC.gov,-15.573784055315876,102.65486725663715
CA,1979504,686,187,1751690,1927371,737,264,1577627,SBE,-2.6336395379852773,41.176470588235304
CO,282481,570,205,225484,277238,673,318,191153,SBE,-1.8560540354926491,55.1219512195122
CT,151151,918,223,133192,156745,1030,277,123873,SBE,3.7009348267626363,24.215246636771305
DC,14930,739,610,4217,16053,815,725,3012,SBE,7.52176825184192,18.852459016393453
DE,52931,749,217,48014,44663,901,320,36026,HC.gov,-15.620335909013615,47.46543778801844
FL,4735415,641,67,4601986,4538772,806,106,4295772,HC.gov,-4.152603309319247,58.20895522388059
GA,1510852,620,74,1398360,1324295,777,164,1180015,SBE,-12.347801108248857,121.62162162162163
HI,24606,729,252,20439,23380,778,372,16702,HC.gov,-4.9825245874989825,47.61904761904763
IA,136833,555,141,120692,123304,615,235,93877,HC.gov,-9.88723480446968,66.66666666666667
ID,117373,482,129,100762,120426,509,202,92090,SBE,2.601109284077263,56.58914728682169
IL,465985,674,190,418039,448568,816,230,382114,SBE,-3.7376739594622177,21.052631578947366
IN,359240,503,120,322426,300049,623,222,250156,HC.gov,-16.476728649370898,85.00000000000001
KS,200046,649,106,187387,192811,779,160,170974,HC.gov,-3.616668166321746,50.9433962264151
KY,97374,601,180,83518,89028,797,288,71435,SBE,-8.57107646805102,60.00000000000001
LA,292994,642,72,281548,296648,759,144,270419,HC.gov,1.2471245144951792,100.0
MA,389191,535,198,324367,403624,594,325,292196,SBE,3.708461912017502,64.14141414141415
MD,247243,492,184,188904,255612,542,284,172309,SBE,3.3849289969786867,54.347826086956516
ME,64678,758,245,54757,58523,913,340,43597,SBE,-9.516373419091495,38.775510204081634
MI,531083,540,131,484004,497064,657,222,402911,HC.gov,-6.405590086671953,69.46564885496183
MN,151512,529,307,92489,139251,639,437,68982,SBE,-8.092428322509104,42.34527687296416
MO,417000,621,91,392595,365734,724,173,316392,HC.gov,-12.294004796163073,90.1098901098901
MS,338159,605,41,331210,313392,816,131,298865,HC.gov,-7.324069446621262,219.51219512195124
MT,77221,634,151,68707,73255,729,230,56892,HC.gov,-5.135908625891917,52.317880794701985
NC,975110,637,97,919453,761457,755,180,662864,HC.gov,-21.91065623365569,85.56701030927836
ND,42901,585,145,38928,41014,591,229,32183,HC.gov,-4.398498869490219,57.931034482758626
NE,136684,687,114,129941,128492,800,217,111189,HC.gov,-5.993386204676476,90.35087719298245
NH,70337,469,230,49757,66024,553,342,36748,HC.gov,-6.131907815232385,48.695652173913054
NJ,513217,673,179,462504,509192,734,277,418531,SBE,-0.7842686426988932,54.7486033519553
NM,70373,657,152,60022,83103,842,299,68362,SBE,18.08932403052308,96.71052631578947
NV,110687,555,152,96123,104286,659,234,85980,SBE,-5.782973610270403,53.94736842105263
NY,221534,791,532,140403,210704,812,636,89718,SBE,-4.88864011844683,19.548872180451138
OH,583443,580,126,529774,469616,665,233,387729,HC.gov,-19.5095322079449,84.92063492063492
OK,307989,616,78,296735,261887,727,161,237649,HC.gov,-14.968716415196647,106.41025641025644
OR,139688,696,272,111620,118372,741,426,71031,HC.gov,-15.259721665425808,56.61764705882353
PA,496661,655,187,429551,501459,742,251,400008,SBE,0.9660512905180774,34.224598930481285
RI,42117,568,155,36997,43446,649,246,35699,SBE,3.1554954056556728,58.70967741935485
SC,631948,572,73,602457,587567,655,139,524034,HC.gov,-7.022887959135882,90.41095890410959
SD,54721,691,125,51707,50951,684,211,42465,HC.gov,-6.889493978545714,68.8
TN,642867,634,72,610685,569310,838,141,514288,HC.gov,-11.442024555623476,95.83333333333333
TX,3966226,573,57,3781291,4172233,709,89,3877775,HC.gov,5.194030799051785,56.14035087719298
UT,421890,514,70,403968,387336,571,120,350154,HC.gov,-8.19028656758871,71.42857142857142
VA,388856,489,135,335255,370086,575,215,288477,SBE,-4.826979653136377,59.25925925925925
VT,32862,1067,220,30459,30344,1090,364,23336,SBE,-7.662345566307593,65.45454545454545
WA,308227,629,288,224315,290109,738,343,187093,SBE,-5.878135270433804,19.097222222222232
WI,313579,687,167,278768,291336,784,250,228117,HC.gov,-7.093268362996241,49.70059880239521
WV,67113,1170,101,65152,55879,1314,208,49659,HC.gov,-16.73893284460537,105.94059405940595
WY,46643,1006,134,44423,41545,1217,235,36186,HC.gov,-10.929828698840128,75.37313432835822
