business_state,n_issuers,hhi,life_years,largest_share_pct
AK,3.0,0.6061412532319918,25773.833333333332,73.15785389574698
AL,7.0,0.3938929945817759,424541.6641666667,46.96154704266296
AR,10.0,0.3561580399942168,327313.61499999993,47.46775249989729
AZ,12.0,0.23335307310609307,384446.9166666666,30.034423911580344
CA,20.0,0.23485559721664218,2255632.3116666675,33.028403143545134
CO,11.0,0.2318835635647267,294005.66333333333,31.763673849411905
CT,8.0,0.46861958451603497,141472.82666666666,51.00861772088718
DC,5.0,0.4462003241797545,14229.25,61.04034529812417
DE,7.0,0.5911402305535451,47878.6275,75.23450834090848
FL,21.0,0.20012991301420627,3573107.602508334,27.43850362879504
GA,14.0,0.24340995901701382,1297103.0916666666,39.73347119781426
HI,3.0,0.538479943396533,33408.75,64.48884399047157
IA,6.0,0.3964126942849813,139813.33333333334,57.644895575052445
ID,9.0,0.23486959525941042,116167.33333333333,31.88453724799284
IL,15.0,0.36422537968598606,452094.13333333324,57.535915824020144
IN,9.0,0.29517194135780384,306373.09775,35.85638990719773
KS,11.0,0.25464753949739105,184541.4300833333,41.97706532982094
KY,14.0,0.3648016222130235,88924.33666666667,49.5309664197289
LA,11.0,0.26057667705913773,255896.34,37.55384569652957
MA,12.0,0.3193842143650908,364345.24666666664,49.13620207880851
MD,10.0,0.3109953001427747,279143.5,46.64479619502753
ME,7.0,0.34041089883497255,67204.91666666667,42.66478519056765
MI,14.0,0.1925136460027676,497501.4133333334,30.736411844297336
MN,9.0,0.3518576602865372,136183.41666666666,41.8203758289219
MO,15.0,0.2381754643988231,384743.8008333333,36.43501654773249
MS,12.0,0.4185286301016752,311744.91000000003,61.11495132350356
MT,4.0,0.39551082720056857,73988.58333333333,49.13663481866009
NC,15.0,0.3249523894154186,998680.2934166667,43.37859702006314
ND,4.0,0.4874959908528034,52602.60248695188,58.52201418092935
NE,7.0,0.4125043149069506,119723.41333333333,56.179905105723684
NH,5.0,0.5707247899201445,75927.57583333334,72.12948137167247
NJ,11.0,0.33857782281313237,472779.4166666667,50.366598376656626
NM,9.0,0.321014128068089,66689.83666666667,47.98557261423792
NV,12.0,0.20425568255037632,113137.90666666668,35.38940323331655
NY,19.0,0.1360338203484988,214475.08666666667,22.180159666097033
OH,17.0,0.1317382472686171,526033.6633333333,19.52321188265651
OK,12.0,0.3902218923954147,282112.7791666666,57.26173310682621
OR,7.0,0.2061777261690268,165951.1666666667,26.10225698925487
PA,22.0,0.14927594571819144,501268.08666666667,23.442346146831635
RI,4.0,0.5430056824400443,50837.99666666667,64.90404585179365
SC,12.0,0.4047543659807894,591869.3333333334,49.74031430360756
SD,5.0,0.3395658968660451,62310.5,39.81431700917181
TN,13.0,0.28149821543292075,581022.7407583334,45.42752629564457
TX,24.0,0.21815443749681726,3546776.664183334,40.04294042556198
UT,9.0,0.5303432330766589,397900.4166666667,69.9162374170254
VA,17.0,0.2044784002316138,390569.2433333333,37.178277384924314
VT,3.0,0.564951390036771,34299.083333333336,68.22607018166181
WA,17.0,0.1559121897270653,288113.33,28.887417322898596
WI,17.0,0.1292308472986275,294232.17000000004,24.210926131338162
WV,6.0,0.5025241544912156,54967.902500000004,57.11029874813457
WY,5.0,0.5695934106983166,42346.58666666667,68.98470211215765
