fpl_pct,income_2025,income_2026,gross_2025,gross_2026,net_2025,net_2026,net_change_dollars,net_change_pct,net_pct_income_2025,net_pct_income_2026
100,15060.0,15650.0,5960.58,7721.64,0.0,322.3900000000003,322.3900000000003,inf,0.0,2.0600000000000023
133,20029.8,20814.5,5960.58,7721.64,0.0,428.77869999999984,428.77869999999984,inf,0.0,2.059999999999999
150,22590.0,23475.0,5960.58,7721.64,0.0,967.1700000000001,967.1700000000001,inf,0.0,4.12
200,30120.0,31300.0,5960.58,7721.64,602.3999999999996,2037.63,1435.2300000000005,238.25199203187273,1.999999999999999,6.51
250,37650.0,39125.0,5960.58,7721.64,1506.0,3247.375,1741.375,115.62915006640107,4.0,8.3
300,45180.0,46950.0,5960.58,7721.64,2710.7999999999997,4596.405,1885.605,69.55898627711376,6.0,9.79
350,52710.0,54775.0,5960.58,7721.64,3821.4750000000004,5362.4725,1540.9974999999995,40.324678298301045,7.250000000000001,9.79
400,60240.0,62600.0,5960.58,7721.64,5120.400000000001,6128.54,1008.1399999999994,19.68869619560971,8.500000000000002,9.79
401,60390.6,62756.5,5960.58,7721.64,5133.201,7721.64,2588.4390000000003,50.42543629209144,8.5,12.304127859265574
450,67770.0,70425.0,5960.58,7721.64,5760.450000000001,7721.64,1961.1899999999996,34.04577767361923,8.500000000000002,10.964345047923322
500,75300.0,78250.0,5960.58,7721.64,5960.58,7721.64,1761.0600000000004,29.545111381778288,7.915776892430279,9.867910543130991
600,90360.0,93900.0,5960.58,7721.64,5960.58,7721.64,1761.0600000000004,29.545111381778288,6.596480743691899,8.223258785942493
