model,sample,term,coef,se,t,p,n_cells,n_states
A. Difference in differences,All consistent (47),exposed_post,-36.354789632685424,10.504023714127651,-3.4610346113165313,0.0005381036243355735,657,47
A. Difference in differences,All consistent (47),notch_post,17.879039157241735,2.9136223342338017,6.136361239125182,8.443304564327854e-10,657,47
A. Difference in differences,HealthCare.gov (30),exposed_post,-31.81270682806253,4.958485045926871,-6.415811791989765,1.400744124489969e-10,420,30
A. Difference in differences,HealthCare.gov (30),notch_post,22.302683913290874,2.95816281485895,7.539369976954532,4.722473949663189e-14,420,30
B. Dose: unsubsidised burden at age 60,HealthCare.gov (30),exposed_post,-32.86737942840756,3.2573129740247184,-10.090335098440603,6.0961054813799365e-24,420,30
B. Dose: unsubsidised burden at age 60,HealthCare.gov (30),notch_post,22.380662047720897,2.82669780100512,7.91759983672919,2.4213918539143e-15,420,30
B. Dose: unsubsidised burden at age 60,HealthCare.gov (30),exposed_burden,0.260694428706987,0.4064873072663568,0.641334733082239,0.5213052274479464,420,30
B. Dose: unsubsidised burden at age 60,HealthCare.gov (30),exposed_post_burden,-3.2528193621234784,0.6751400942580484,-4.817991687633653,1.4501041046640062e-06,420,30
B. Dose: unsubsidised burden at age 60,HealthCare.gov (30),notch_burden,0.5034508724700044,0.3869602563597905,1.3010402598087554,0.1932446744875974,420,30
B. Dose: unsubsidised burden at age 60,HealthCare.gov (30),notch_post_burden,-0.48111478772413924,0.5462164743644,-0.8808133959781865,0.37841882793604786,420,30
C. Section 1332 reinsurance,All consistent (47),exposed_post,-27.240511276427476,5.767747391450369,-4.722902968463313,2.3250179459136952e-06,657,47
C. Section 1332 reinsurance,All consistent (47),notch_post,17.426852538693346,2.696937078915921,6.461720102753884,1.0351944442552229e-10,657,47
C. Section 1332 reinsurance,All consistent (47),exposed_reins,0.23616975286807607,2.9696065048150615,0.07952897209954894,0.9366118881854256,657,47
C. Section 1332 reinsurance,All consistent (47),exposed_post_reins,-40.98050947593039,39.93422397549355,-1.0262002211706658,0.304797217150357,657,47
C. Section 1332 reinsurance,HealthCare.gov (30),exposed_post,-33.21762046352923,5.359790186794857,-6.197559849519649,5.734523600614804e-10,420,30
C. Section 1332 reinsurance,HealthCare.gov (30),notch_post,22.46944821587782,2.921886921802442,7.6900471569299995,1.4708080615450364e-14,420,30
C. Section 1332 reinsurance,HealthCare.gov (30),exposed_reins,6.234314124155426,5.864030184075115,1.063144958067557,0.28771621895986876,420,30
C. Section 1332 reinsurance,HealthCare.gov (30),exposed_post_reins,10.81782076305994,5.845275858582969,1.8506946506511723,0.06421349408013224,420,30
"D. Reinsurance, holding burden constant",HealthCare.gov (30),exposed_post,-33.39905357833005,3.5114253488932037,-9.511537412822227,1.878652223316074e-21,420,30
"D. Reinsurance, holding burden constant",HealthCare.gov (30),notch_post,22.571958861069483,2.9406272670980145,7.675899327201992,1.6426209748380533e-14,420,30
"D. Reinsurance, holding burden constant",HealthCare.gov (30),exposed_reins,6.896381235824825,6.092899320738392,1.1318718516079238,0.2576883143473204,420,30
"D. Reinsurance, holding burden constant",HealthCare.gov (30),exposed_post_reins,4.053382314737268,4.9989537886815025,0.8108461262264173,0.41745404168840505,420,30
"D. Reinsurance, holding burden constant",HealthCare.gov (30),exposed_burden,0.29448124259324787,0.28260878238713993,1.0420102309129378,0.2974069356376956,420,30
"D. Reinsurance, holding burden constant",HealthCare.gov (30),exposed_post_burden,-3.1296494782605015,0.6278820554191513,-4.984454407080102,6.213689498960866e-07,420,30
