StateCode,n_rating_areas,gross_median,cliff_median,cliff_pct_income,gross_pct_income
WV,11,27877.800000000003,21749.260000000002,34.7432268370607,44.53322683706071
WY,3,27350.64,21222.1,33.90111821086262,43.69111821086262
AK,3,26127.0,19998.46,31.946421725239617,41.736421725239616
AR,7,19723.199999999997,13594.659999999996,21.716709265175712,31.506709265175715
NE,4,18335.760000000002,12207.22,19.500351437699678,29.29035143769968
TN,8,18029.52,11900.98,19.011150159744407,28.80115015974441
UT,6,17940.72,11812.179999999998,18.86929712460064,28.659297124600638
KS,7,17918.760000000002,11790.220000000001,18.834217252396165,28.62421725239617
FL,67,17814.12,11685.579999999998,18.667060702875396,28.4570607028754
MT,4,17681.940000000002,11553.4,18.45591054313099,28.24591054313099
DE,1,17627.04,11498.5,18.368210862619808,28.158210862619807
LA,8,17444.28,11315.739999999998,18.076261980830665,27.866261980830668
AZ,7,17036.28,10907.739999999998,17.424504792332264,27.214504792332267
TX,27,17019.12,10890.579999999998,17.397092651757184,27.18709265175719
MO,10,16970.94,10842.399999999998,17.320127795527153,27.110127795527156
NC,16,16435.079999999998,10306.539999999999,16.464121405750795,26.254121405750798
MS,6,16347.779999999999,10219.239999999998,16.32466453674121,26.114664536741213
AL,13,16294.560000000001,10166.02,16.23964856230032,26.029648562300324
WI,16,15980.7,9852.16,15.738274760383387,25.528274760383386
OK,5,14507.16,8378.619999999999,13.38437699680511,23.174376996805112
SC,46,14176.86,8048.32,12.856741214057507,22.646741214057506
HI,1,13839.119999999999,7710.579999999999,12.317220447284344,22.107220447284345
SD,4,13663.68,7535.14,12.036964856230032,21.82696485623003
OR,7,13656.0,7527.46,12.024696485623004,21.814696485623003
OH,17,13383.119999999999,7254.579999999999,11.588785942492011,21.378785942492012
ND,4,12713.400000000001,6584.860000000001,10.51894568690096,20.30894568690096
MI,16,12273.54,6145.000000000001,9.816293929712462,19.606293929712464
IA,7,12165.84,6037.3,9.644249201277955,19.434249201277954
IN,17,12119.52,5990.9800000000005,9.570255591054313,19.36025559105431
NH,1,9898.44,3769.9000000000005,6.022204472843452,15.812204472843451
