term,coef,se,z,p,relativity
const,7.766048809072773,0.06558950799655212,118.40382778112948,0.0,2359.1314699433196
age_band_18-25,0.002529092552507148,0.06899435994436609,0.03665651155466176,0.9707588840713759,1.0025322934049252
age_band_26-34,0.2853205030410749,0.057935708262987336,4.924778027152454,8.445616962970299e-07,1.33018828920073
age_band_35-44,0.2623841814224435,0.05484862868630176,4.7837874475059206,1.7202259156154649e-06,1.3000258922992853
age_band_45-54,0.3074107078158357,0.06128028546605956,5.016469905090387,5.262951584397986e-07,1.3598993746950863
age_band_55-59,0.332304876815918,0.06391251771751842,5.199370775606814,1.9996429007182063e-07,1.394177836224306
age_band_60-64,0.40536370942860467,0.06550149321564143,6.188617839506074,6.069402745385488e-10,1.499847909691669
fpl_band_250-400,0.11446368053533859,0.04596643186263734,2.4901580544122575,0.012768629813911697,1.121271916328676
fpl_band_400+,0.30393242602821297,0.040425586511940406,7.518318279400626,5.548529638070111e-14,1.355177478270885
fpl_band_<138,0.12906863409858244,0.06618664068395227,1.9500707811248175,0.05116768326480677,1.1377682111815552
female,0.32912634078716196,0.03130622407176007,10.513127997574513,7.515853296319343e-26,1.3897534270383924
chronic,0.15196925650972803,0.04857208295446108,3.1287366583024103,0.001755595718075201,1.1641244466333631
chronic_count,0.34243758982227646,0.01703140533303899,20.106243913882224,6.506852874884462e-90,1.408376453894548
region_2,0.04402940017332059,0.05366604562520197,0.8204330999309564,0.4119692525617884,1.0450130780024247
region_3,-0.15547622079606108,0.04869164568846663,-3.1930779623020222,0.001407649363135017,0.8560074318622116
region_4,0.034182675244780844,0.053904334107748766,0.6341359337906574,0.5259921136331658,1.0347736169876205
nongroup,-0.05876692697481327,0.08089485177056452,-0.7264606546469622,0.4675564192580006,0.942926514282987
