dimension,group,response,tilt,share_of_pool_pct,mean_net_2025,mean_net_2026,exit_rate_pct,mean_cost_of_leavers,mean_cost_of_stayers,leaver_cost_discount_pct
Income,FPL_100_150,0.014284775960555187,1.5,56.20353554753104,0.0,564.0609709751586,4.264508593704114,5384.311852336986,7083.236007890165,23.985141165149827
Income,FPL_150_200,0.014284775960555187,1.5,17.069436300554198,296.05595923326194,1529.1746212535902,7.193589806250822,5008.984749321524,6471.990995181017,22.605195942776092
Income,FPL_200_250,0.014284775960555187,1.5,9.73600039706177,1030.5531891638825,2662.074716426912,7.234571372579684,5150.918122822396,6648.21239214594,22.521757444037384
Income,FPL_250_300,0.014284775960555187,1.5,5.850210678817616,2089.8397978739636,3976.9922071350675,6.212266489376438,5738.495146055256,7307.9985761007365,21.47651526887553
Income,FPL_300_400,0.014284775960555187,1.5,5.82159595904142,3820.7780533660516,5435.159198550279,4.078513280496936,5699.0775934957765,7266.553661456916,21.571107033521407
Income,FPL_400_500,0.014284775960555187,1.5,2.336852258136994,5537.272958172829,10546.759626930623,7.581230982670309,8719.348875938753,8763.418725402915,0.5028842149972235
Income,FPL_GT500,0.014284775960555187,1.5,2.982368858856997,7534.286145082463,11011.114876824793,3.212901950016932,8344.61679410439,8658.884680252528,3.6294268575358
Age,Age_18_25,0.014284775960555187,1.5,12.790687478532009,531.7679582285748,1428.4212113238707,6.931442430798948,3259.5303330568304,3592.0553165796714,9.257234486006439
Age,Age_26_34,0.014284775960555187,1.5,18.887737788448796,712.3008809915159,1690.8021954189092,5.677353691018621,4494.761865129403,5104.136147741272,11.938832840137593
Age,Age_35_44,0.014284775960555187,1.5,22.369611408667314,829.4984948938195,1855.9149755715662,5.431368070619218,4872.620019981775,5789.54764370203,15.837638450349479
Age,Age_45_54,0.014284775960555187,1.5,21.574594933278515,985.2156911862442,2131.110849903531,4.792111347607875,6106.307032234622,7664.413808824623,20.329105597039053
Age,Age_55_64,0.014284775960555187,1.5,24.377368391073386,1021.4061698079443,2396.297642651312,4.082304332759133,8565.32256979935,10892.512269336017,21.365040883066435
All,All,0.014284775960555187,1.5,100.0,849.6581296387347,1961.1529838617325,5.20291572717174,5471.320576077401,7049.708852329171,22.38941081560103
