sample,dimension,group,n_2024,n_2025,n_2026,change_2024_25_pct,change_2025_26_pct,share_2025_pct,share_2026_pct
hcgov,Income,FPL_LT100,230379,228250,132237.0,-0.9241293694303709,-42.06484118291347,1.3698091659287501,0.8384609175712209
hcgov,Income,FPL_100_150,7760271,9070434,8793788.0,16.882954216418476,-3.0499753374535366,54.434889954662765,55.75782538477726
hcgov,Income,FPL_150_200,2370971,2754759,2574719.0,16.1869546274501,-6.535598939870968,16.532285336800516,16.325243730786816
hcgov,Income,FPL_200_250,1504629,1571249,1480945.0,4.427669545117108,-5.7472749385998,9.429622265745378,9.390068615988806
hcgov,Income,FPL_250_300,851909,944139,867002.0,10.826273698247114,-8.170089361841848,5.666112841668364,5.49730629442655
hcgov,Income,FPL_300_400,875903,939521,1021383.0,7.2631330181538445,8.713163409865231,5.638398586560987,6.476173290165735
hcgov,Income,FPL_400_500,351811,377134,203976.0,7.197898871837438,-45.91418434826878,2.2633148301571664,1.2933286759568603
hcgov,Income,FPL_GT500,435849,481311,357059.0,10.43067667930866,-25.81532522630897,2.888517938498719,2.2639655827571903
hcgov,Income,FPL_OTHR,277483,296108,340288.0,6.712122904826612,14.920231807313545,1.7770490799773508,2.1576275075695577
hcgov,Age,Age_0_17,1591586,1905621,2013474.0,19.730947620800876,5.659729820357784,11.436307174529292,12.766617947668173
hcgov,Age,Age_18_25,1544177,1852568,1687692.0,19.971220915737,-8.899862245272505,11.117917313937756,10.700967073493869
hcgov,Age,Age_26_34,2373715,2735648,2462567.0,15.247533928883627,-9.982314976195772,16.417593450841856,15.61413361162616
hcgov,Age,Age_35_44,2787461,3239953,3122958.0,16.2331239791337,-3.611009172046631,19.444106534844913,19.80140376911443
hcgov,Age,Age_45_54,2820340,3124805,2914398.0,10.795329641107099,-6.733444166916014,18.753062566221196,18.47900981758306
hcgov,Age,Age_55_64,3302995,3530751,3289051.0,6.895438836571044,-6.8455691154658,21.189288422396935,20.854531783075398
hcgov,Age,Age_GE65,238931,273559,281257.0,14.492887067814554,2.814018182549294,1.6417245372280524,1.783335997438908
all,Income,FPL_LT100,380101,542879,304033.0,42.82493337297193,-43.996175943442275,2.2828663683897443,1.3447963599959962
all,Income,FPL_100_150,9393595,10881871,10676743.0,15.843518908362553,-1.8850434819526862,45.75947371523982,47.2252851598765
all,Income,FPL_150_200,3639110,4291925,4066950.0,17.93886417283346,-5.241820395277175,18.04802034735393,17.988901061022048
